"Subject","Experiment","Group","Age","Gender","Running","Condition","Cycle","Sample","Cue","Target","Acc","Resp","RT"
10,"TPL2","4","19","female","Recall","First Word","2","30","compendious","concise","0","","28321"
10,"TPL2","4","19","female","PracticeStudy",NA,"1","1","zamindar","landlord",NA,NA,NA
10,"TPL2","4","19","female","PracticeStudy",NA,"1","2","carcanet","necklace",NA,NA,NA
10,"TPL2","4","19","female","PracticeStudy",NA,"1","3","tantivy","quick",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","1","blandish","flatter",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","2","inculcate","instil",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","3","sprauncy","smart",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","4","orotund","pompous",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","5","subsecive","spare",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","6","inchoate","undeveloped",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","7","stanchion","support",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","8","valinch","tube",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","9","objurgate","rebuke",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","10","interstice","space",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","11","burgeon","flourish",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","12","peculate","embezzle",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","13","effulgent","shining",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","14","spoliate","plunder",NA,NA,NA
10,"TPL2","4","19","female","Study",NA,"1","15","frond","leaf",NA,NA,NA
10,"TPL2","4","19","female","Recall","Study","3","31","subsecive","spare","0","","45624"
10,"TPL2","4","19","female","Recall","Study","3","32","valinch","tube","0","","42064"
10,"TPL2","4","19","female","Recall","Study","3","33","interstice","space","1","space","22459"
10,"TPL2","4","19","female","Recall","Study","3","34","inculcate","instil","1","instil","22077"
